disease,drug,description
Asthma,Kushta,Used traditionally for managing asthma symptoms.
Depurative properties,Mulaka,Utilized for its depurative or purifying properties.
migraine,shankhapushpi,Calms the nervous system and reduces migraine frequency.
arthritis,shud laksha,Reduces joint pain and inflammation in arthritis.
expectorant,Jaiphal,Used for its expectorant properties.
migraine,drakshasava,Helps in managing migraine attacks.
Leucoderma,"Bakuchi, Kushthanashini",Used traditionally for managing leucoderma.
Antiviral,Chandan,Employed traditionally as an antiviral agent.
Leprosy,"Bakuchi, Kushthanashini",Employed in traditional medicine for leprosy treatment.
diarrhea,bilwa,Helps in controlling loose motions.
nausea,Laung,Laung helps in relieving nausea and vomiting.
styptic,Arjuna,"Arjuna is styptic, helping to stop bleeding by promoting clotting."
migraine,Mukta pishti,No description available
Appetizer,Mulaka,Employed as an appetizer.
Ulcers,Bark,"Addressing ulcers, typically gastric or peptic ulcers."
migraine,Shankha prakshalana,No description available
Stimulant,"Gandhini, Pitamulika",Utilized for its stimulating effects.
Counter-irritant,Pipli,Employed as a counter-irritant.
arthritis,boswellia curcumin,Reduces joint inflammation and improves mobility.
Aphrodisiac,"Bakuchi, Kushthanashini",Employed traditionally as an aphrodisiac.
antidysenteric,Kakamachi,"Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
arthritis,nirugandi oil,Reduces joint pain and inflammation.
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
gastritis,gandharvahastadi kashaya,Soothes acidity and improves digestion.
abdominal pain,Kakamachi,Kakamachi helps in relieving abdominal pain and discomfort.
Asthma,Kushta,Used traditionally for managing asthma symptoms.
expectorant,Jaiphal,Used for its expectorant properties.
boils,Sharapunkha,"Sharapunkha helps in treating boils, promoting healing and reducing inflammation."
diarrhea,fenugreek seed,Helps in reducing loose motions and abdominal discomfort.
antidysenteric,Kakamachi,"Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
Demulcent,Bilai kand,"Employed as a demulcent, soothing agent."
Diarrhea,Mulaka,Used traditionally for diarrhea relief.
 stomachic ,Draksha,"Draksha is beneficial for the stomach, aiding in digestion and soothing gastrointestinal discomfort."
arthritis,aamvatantak churna,Provides relief from arthritis pain and stiffness.
Cardiotonic,Bilai kand,Utilized for its effects on the heart.
gastritis,hingvastak churna,Reduces gastritis symptoms like bloating and acidity.
emollient,Kakamachi,"Kakamachi acts as an emollient, soothing and softening the skin."
tonic,Jaiphal,Employed as a tonic
diarrhea,bilwa,Helps in controlling loose motions.
migraine,Shankh Vati + Shankh Bhasma,Reduces migraine symptoms and frequency.
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
Antidysenteric,"Manjistha, Kala-meshika",Used traditionally for dysentery relief.
laxative,Kirata-tikta,"Kirata-tikta acts as a laxative, promoting bowel movements and relieving constipation."
Astringent tonic,"Gandhini, Pitamulika",Employed as an astringent tonic.
diarrhea,lime juice,Helps balance stomach pH and combat pathogens.
diarrhea,fenugreek seed,Helps in reducing loose motions and abdominal discomfort.
laxative,Kirata-tikta,"Kirata-tikta acts as a laxative, promoting bowel movements and relieving constipation."
dyspepsia,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari aid in the management of dyspepsia, relieving indigestion and discomfort."
Rejuvenating,"Amrita, Guluchi, Jwarari","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
Gall bladder troubles,Mulaka,Addressing issues related to the gallbladder.
diarrhea,sanjivani vati,Provides relief from diarrhea and associated symptoms.
Antibacterial,Anar,Employed for its antibacterial properties.
Gall bladder troubles,Mulaka,Addressing issues related to the gallbladder.
gastritis,phadke, Provides relief from gastritis symptoms like bloating and discomfort.
galactagogue,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
rheumatism,Sharapunkha,"Sharapunkha helps in reducing rheumatism symptoms, such as joint pain and inflammation."
Antibacterial,Chandan,Employed for its antibacterial properties.
Antibacterial,Chandan,Employed for its antibacterial properties.
gastritis,phadke, Provides relief from gastritis symptoms like bloating and discomfort.
gastritis,gulachyadi kashayam,Has cooling and soothing effects on the stomach.
Dysentery,Bark,Employed traditionally to alleviate symptoms of dysentery.
migraine,pathyadi guggulu,Reduces migraine symptoms and frequency.
Headache,Mulaka,Used traditionally for headache relief.
Dyspepsia,Bark,Used for indigestion or dyspepsia.
Antibacterial,Anar,Employed for its antibacterial properties.
gastritis,lavanaabhaskara churna,Soothes gastric irritation and improves digestion.
 diuretic,Draksha,"Draksha has diuretic properties, promoting urine production and helping to flush out toxins from the body."
Diarrhea,Anar,Used traditionally for diarrhea relief.
arthritis,dashmool oil,Reduces arthritis pain and stiffness.
 analgesic,Bahera,"Bahera has analgesic properties, providing relief from pain."
Depurative properties,Mulaka,Utilized for its depurative or purifying properties.
migraine,Vasant Kusumakar Ras,No description available
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
gastritis,indukantham kashayam,Reduces gastritis symptoms and improves digestion.
vermin-killers,"Karaskara, Chipita","Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
astringent,Bahera,"Bahera has astringent properties, helping to tighten and tone tissues."
Carminative,Pipli,Utilized for its carminative properties.
rheumatism,Sharapunkha,"Sharapunkha helps in reducing rheumatism symptoms, such as joint pain and inflammation."
rheumatism,Sharapunkha,"Sharapunkha helps in reducing rheumatism symptoms, such as joint pain and inflammation."
Cough,Phyllanthus emblica (fruits) 25% Adhatoda vasica (leaves) 20% Ocimum sanctum (leaves) 10% Piper longum (fruits) 10% Zingiber officinale (roots) 10% Glycyrrhiza glabra (roots) 15% Solanum xanthocarpum (whole plant) 10%,this combination is help you to relief from cough
vomiting,Laung, Laung helps in reducing vomiting and soothing the stomach.
diarrhea,sanjni vati,Provides relief from diarrhea and associated symptoms.
Intelligence promoting,Anar,Employed traditionally for promoting intelligence.
carminative,"Methika, Chandrika","Methika and Chandrika are carminative, helping to relieve gas and bloating."
Antioxidant,Draksha,"Draksha exhibits antioxidant properties, helping to combat oxidative stress and promote overall health."
piles,Prasarani,Utilized in traditional medicine for managing piles
inflammation of spleen,Prasarani,mployed traditionally for inflammation of the spleen.
Appetizer,Mulaka,Employed as an appetizer.
diarrhea,promegranate drink,Promotes digestion and reduces inflammation.
 laxative,Draksha,"Draksha acts as a natural laxative, aiding in relieving constipation and promoting regular bowel movements."
Antifungal,Chandan,Used traditionally as an antifungal agent.
arthritis,suhunjana beej,Provides relief from arthritis pain and stiffness.
Anti-inflammatory,Chandan,Utilized for its anti-inflammatory properties.
Abortifacient,Madana,Used traditionally for inducing abortion.
Colic,Bark,Used for the relief of colic pain.
febrifugal,Kirata-tikta,Kirata-tikta aids in reducing fever and promoting recovery from infections.
Diarrhea,Anar,Used traditionally for diarrhea relief.
diuretic,Kakamachi,"Kakamachi has diuretic properties, promoting urine production and helping to flush out toxins from the body."
Leprosy,"Bakuchi, Kushthanashini",Employed in traditional medicine for leprosy treatment.
ulcers,"Methika, Chandrika","Methika and Chandrika are beneficial for ulcers, soothing irritation and promoting healing."
gastritis,lavan bhasker churna,Soothes gastric irritation and improves digestion.
bronchitis,Sharapunkha,"Sharapunkha is beneficial for bronchitis, helping to reduce inflammation and promote healing."
galactagogue,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
diarrhea,promegranate drink,Promotes digestion and reduces inflammation.
migraine,pathyadi guggulu,Reduces migraine symptoms and frequency.
Diaphoretic,Madana,Used traditionally as a diaphoretic agent.
migraine,Mudgaparni,No description available
migraine,shankhapushpi,Calms the nervous system and reduces migraine frequency.
Diabetes,Gymnema sylvestre (leaves) 30% Tinospora cordifolia (stems) 15% Azadirachta indica (leaves) 10% Phyllanthus emblica (fruits) 20% Curcuma longa (roots) 10% Aegle marmelos (leaves) 15%,this combination is help you to relief from diabetes
migraine,Chandraprabha vati,No description available
migraine,Anu Taila + Shankhapushpi,Calms the nervous system and reduces migraine attacks.
Ulcers,Bark,"Addressing ulcers, typically gastric or peptic ulcers."
Bioavailability enhancer,Pipli,Used for enhancing bioavailability of other substances.
aperient,Bahera,"Bahera acts as an aperient, promoting gentle bowel movements and relieving constipation."
gastritis,panchkol churna,Improves digestion and reduces acidity.
Piles,Bark,Utilized in traditional medicine for hemorrhoids or piles.
Leprosy,Pipli,Used traditionally for leprosy treatment.
migraine,shankh bhasma,Helps in relieving migraine headaches.
migraine,drakshasava,Helps in managing migraine attacks.
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
Depurative properties,Mulaka,Utilized for its depurative or purifying properties.
gastritis,gulachyadi kashayam,Has cooling and soothing effects on the stomach.
Purgative,"Gandhini, Pitamulika",Used as a purgative agent.
Antidysenteric,"Manjistha, Kala-meshika",Used traditionally for dysentery relief.
gastritis,ashta choornam,Soothes gastric irritation and promotes healing.
Diarrhea,Mulaka,Used traditionally for diarrhea relief.
migraine,Anu Taila + Shankhapushpi,Calms the nervous system and reduces migraine attacks.
Rheumatism,"Manjistha, Kala-meshika",Employed traditionally for rheumatism relief.
aperient,Bahera,"Bahera acts as an aperient, promoting gentle bowel movements and relieving constipation."
migraine,fenugreek,Helps in relieving migraine symptoms.
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
Antispasmodic,Madana,Employed for its antispasmodic properties.
Asthma,Pipli,Employed traditionally for managing asthma symptoms.
laxative,Kirata-tikta,"Kirata-tikta acts as a laxative, promoting bowel movements and relieving constipation."
Counter-irritant,Pipli,Employed as a counter-irritant.
Headache,Mulaka,Used traditionally for headache relief.
vermifuge,Sharapunkha,"Sharapunkha acts as a vermifuge, helping to expel intestinal worms and parasites."
Aromatic,"Methika, Chandrika","Methika and Chandrika have aromatic properties, imparting a pleasant aroma and flavor to dishes."
antidysenteric,Kakamachi,"Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
nausea,Laung,Laung helps in relieving nausea and vomiting.
astringent,Bahera,"Bahera has astringent properties, helping to tighten and tone tissues."
tonic,Arjuna,"Arjuna acts as a tonic, promoting overall health and vitality."
migraine,Mudgaparni,No description available
Antispasmodic,Madana,Employed for its antispasmodic properties.
Antidysenteric,"Manjistha, Kala-meshika",Used traditionally for dysentery relief.
Dysentery,Anar,Employed for its effects on dysentery.
hypocholesterolemic,Arjuna,"Arjuna has hypocholesterolemic properties, helping to lower cholesterol levels in the blood."
Carminative,Pipli,Utilized for its carminative properties.
Stimulant,"Gandhini, Pitamulika",Utilized for its stimulating effects.
Antispasmodic,Madana,Employed for its antispasmodic properties.
arthritis,shud laksha,Reduces joint pain and inflammation in arthritis.
gastritis,lavan bhasker churna,Soothes gastric irritation and improves digestion.
arthritis,jahar mohra pishti,Helps in managing arthritis symptoms.
Cough,Phyllanthus emblica (fruits) 25% Adhatoda vasica (leaves) 20% Ocimum sanctum (leaves) 10% Piper longum (fruits) 10% Zingiber officinale (roots) 10% Glycyrrhiza glabra (roots) 15% Solanum xanthocarpum (whole plant) 10%,this combination is help you to relief from cough
arthritis,nirugandi leaves paste,Provides relief from arthritis symptoms.
vermifuge,Jaiphal, Employed for expelling intestinal worms.
tonic,Jaiphal,Employed as a tonic
diarrhea,kutajarishta,Controls diarrhea and reduces intestinal inflammation.
Intelligence promoting,Anar,Employed traditionally for promoting intelligence.
antiulcer,"Karaskara, Chipita",Karaskara and Chipita help in reducing ulcer formation and promoting healing of gastric ulcers.
diarrhea,Sharapunkha,"Sharapunkha aids in managing diarrhea, reducing frequency and severity of episodes."
Anti-inflammatory,Chandan,Utilized for its anti-inflammatory properties.
gastritis,panchkol churna,Improves digestion and reduces acidity.
diuretic,Prasarani, Used for its diuretic effects.
migraine,Jyotishmati,No description available
arthritis,praval pisti,Reduces joint pain and inflammation in arthritis.
Anti-inflammatory,Chandan,Utilized for its anti-inflammatory properties.
Diaphoretic,Madana,Used traditionally as a diaphoretic agent.
anthelmintic,Kirata-tikta,"Kirata-tikta has anthelmintic properties, helping to expel intestinal worms and parasites."
 laxative,Draksha,"Draksha acts as a natural laxative, aiding in relieving constipation and promoting regular bowel movements."
Aromatic,"Methika, Chandrika","Methika and Chandrika have aromatic properties, imparting a pleasant aroma and flavor to dishes."
Stomach disorders,"Gandhini, Pitamulika",Used traditionally for various stomach disorders.
Colic,Bark,Used for the relief of colic pain.
Leprosy,"Bakuchi, Kushthanashini",Employed in traditional medicine for leprosy treatment.
fever,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari help in reducing fever and promoting recovery from infections."
migraine,ginger,Alleviates nausea and vomiting during migraines.
Epilepsy,Pipli,Used traditionally for managing epilepsy.
Aphrodisiac,Bilai kand,Employed as an aphrodisiac.
fever,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari help in reducing fever and promoting recovery from infections."
Galactogogue,Bilai kand,Employed to promote lactation.
diarrhea,kutaja,Reduces intestinal inflammation and diarrhea.
dyspepsia,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari aid in the management of dyspepsia, relieving indigestion and discomfort."
migraine,shankhapushpi,Calms the nervous system and reduces migraine frequency.
antiarthritic,Bahera,Bahera helps in reducing arthritis symptoms and inflammation.
Antiseptic,"Manjistha, Kala-meshika",Employed for its antiseptic properties.
Carminative,Pipli,Utilized for its carminative properties.
gastritis,panchkol churna,Improves digestion and reduces acidity.
Asthma,Kushta,Used traditionally for managing asthma symptoms.
Antidysenteric,"Manjistha, Kala-meshika",Used traditionally for dysentery relief.
expectorant,Jaiphal,Used for its expectorant properties.
gastritis,indukantham kashayam,Reduces gastritis symptoms and improves digestion.
arthritis,dashmool oil,Reduces arthritis pain and stiffness.
migraine,ashwagandha,Helps in managing stress-related migraines.
Anti-inflammatory,Chandan,Utilized for its anti-inflammatory properties.
Intelligence promoting,Anar,Employed traditionally for promoting intelligence.
expectorant,Jaiphal,Used for its expectorant properties.
gastritis,lavan bhasker churna,Soothes gastric irritation and improves digestion.
vermifuge,Sharapunkha,"Sharapunkha acts as a vermifuge, helping to expel intestinal worms and parasites."
Purgative,"Gandhini, Pitamulika",Used as a purgative agent.
Asthma,Pipli,Employed traditionally for managing asthma symptoms.
migraine,fenugreek,Helps in relieving migraine symptoms.
Aphrodisiac,Bilai kand,Employed as an aphrodisiac.
nausea,Laung,Laung helps in relieving nausea and vomiting.
Rejuvenating,"Amrita, Guluchi, Jwarari","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
arthritis,jahar mohra pishti,Helps in managing arthritis symptoms.
diarrhea,fenugreek seed,Helps in reducing loose motions and abdominal discomfort.
Refrigerant,Bilai kand,Used traditionally for its refrigerant properties.
migraine,shankhapushpi,Calms the nervous system and reduces migraine frequency.
antiarthritic,Bahera,Bahera helps in reducing arthritis symptoms and inflammation.
Cardiotonic,Bilai kand,Utilized for its effects on the heart.
Diuretic,"Gokshura, Ikshugancdha","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
Antimitotic,Chandan,Used traditionally with purported antimitotic effects.
Leprosy,"Bakuchi, Kushthanashini",Employed in traditional medicine for leprosy treatment.
migraine,ginger,Alleviates nausea and vomiting during migraines.
gastritis,sankha vati,Soothes gastric irritation and improves digestion.
bronchitis,Sharapunkha,"Sharapunkha is beneficial for bronchitis, helping to reduce inflammation and promote healing."
diuretic,Kakamachi,"Kakamachi has diuretic properties, promoting urine production and helping to flush out toxins from the body."
aperient,Bahera,"Bahera acts as an aperient, promoting gentle bowel movements and relieving constipation."
Antibacterial,Chandan,Employed for its antibacterial properties.
diarrhea,lime juice,Helps balance stomach pH and combat pathogens.
Stimulant,"Gandhini, Pitamulika",Utilized for its stimulating effects.
gastritis,lavan bhasker churna,Soothes gastric irritation and improves digestion.
Refrigerant,Bilai kand,Used traditionally for its refrigerant properties.
gastritis,gandharvahastadi kashaya,Soothes acidity and improves digestion.
ulcers,"Methika, Chandrika","Methika and Chandrika are beneficial for ulcers, soothing irritation and promoting healing."
gastritis,ashta choornam,Soothes gastric irritation and promotes healing.
Asthma,Kushta,Used traditionally for managing asthma symptoms.
Stimulant,"Gandhini, Pitamulika",Utilized for its stimulating effects.
vermin-killers,"Karaskara, Chipita","Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
migraine,Mukta pishti,No description available
bronchitis,Sharapunkha,"Sharapunkha is beneficial for bronchitis, helping to reduce inflammation and promote healing."
Gastrointestinal disorders,Anar,Utilized for various gastrointestinal disorders.
cardioprotective,Bahera,"Bahera is cardioprotective, supporting heart health and reducing the risk of cardiovascular diseases."
tonic,"Methika, Chandrika","Methika and Chandrika act as tonics, promoting overall health and well-being."
cough,Sharapunkha, Sharapunkha helps in relieving cough and soothing respiratory irritation.
diarrhea,sanjivani vati,Provides relief from diarrhea and associated symptoms.
piles,Prasarani,Utilized in traditional medicine for managing piles
Diuretic,"Bakuchi, Kushthanashini",Employed for its diuretic effects.
Appetizer,Mulaka,Employed as an appetizer.
arthritis,suhunjana beej,Provides relief from arthritis pain and stiffness.
Gall bladder troubles,Mulaka,Addressing issues related to the gallbladder.
anthelmintic,Kirata-tikta,"Kirata-tikta has anthelmintic properties, helping to expel intestinal worms and parasites."
tonic,Arjuna,"Arjuna acts as a tonic, promoting overall health and vitality."
gastritis,laxative,Alleviates constipation and discomfort.
Diuretic,Bilai kand,Used for its diuretic effects.
Gastrointestinal disorders,Anar,Utilized for various gastrointestinal disorders.
migraine,ashwagandha,Helps in managing stress-related migraines.
Anti-inflammatory,Chandan,Utilized for its anti-inflammatory properties.
vermin-killers,"Karaskara, Chipita","Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
Dysentery,Bark,Employed traditionally to alleviate symptoms of dysentery.
anthelmintic,Kirata-tikta,"Kirata-tikta has anthelmintic properties, helping to expel intestinal worms and parasites."
arthritis,giloy satya,"Has anti-inflammatory properties, beneficial for arthritis."
gastritis,hingwastaka churna,Relieves gastritis symptoms like bloating and acidity.
fever,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari help in reducing fever and promoting recovery from infections."
Appetizer,Mulaka,Employed as an appetizer.
Carminative,Pipli,Utilized for its carminative properties.
Gastrointestinal disorders,Anar,Utilized for various gastrointestinal disorders.
Intelligence promoting,Anar,Employed traditionally for promoting intelligence.
arthritis,dashmool powder with water,Provides relief from joint pain and inflammation.
Diabetes,Gymnema sylvestre (leaves) 30% Tinospora cordifolia (stems) 15% Azadirachta indica (leaves) 10% Phyllanthus emblica (fruits) 20% Curcuma longa (roots) 10% Aegle marmelos (leaves) 15%,this combination is help you to relief from diabetes
migraine,fenugreek,Helps in relieving migraine symptoms.
cough,Sharapunkha, Sharapunkha helps in relieving cough and soothing respiratory irritation.
migraine,Mukta pishti,No description available
gastritis,ajamodarka,Aids in digestion and reduces gastritis symptoms.
Dysentery,Anar,Employed for its effects on dysentery.
Tonic,Anar,Utilized as a general tonic.
diarrhea,dadimashtaka churna,Alleviates diarrhea symptoms and improves digestion.
carminative,"Methika, Chandrika","Methika and Chandrika are carminative, helping to relieve gas and bloating."
diarrhea,mrutyunjay rasa,Reduces loose motions and strengthens digestion.
Headache,Mulaka,Used traditionally for headache relief.
diarrhea,kutajarishta,Controls diarrhea and reduces intestinal inflammation.
diuretic,Prasarani, Used for its diuretic effects.
Diarrhea,Mulaka,Used traditionally for diarrhea relief.
tonic,Jaiphal,Employed as a tonic
Diuretic,"Bakuchi, Kushthanashini",Employed for its diuretic effects.
 stomachic ,Draksha,"Draksha is beneficial for the stomach, aiding in digestion and soothing gastrointestinal discomfort."
Aphrodisiac,"Bakuchi, Kushthanashini",Employed traditionally as an aphrodisiac.
arthritis,shud laksha,Reduces joint pain and inflammation in arthritis.
Rejuvenating,"Manjistha, Kala-meshika",Employed for rejuvenation purposes.
styptic,Arjuna,"Arjuna is styptic, helping to stop bleeding by promoting clotting."
Chronic bronchitis,Kushta,Employed in traditional medicine for chronic bronchitis relief.
gastritis,ajamodarka,Aids in digestion and reduces gastritis symptoms.
 demulcent,Draksha,"Draksha acts as a demulcent, soothing and protecting mucous membranes in the body."
migraine,pathyadi guggulu,Reduces migraine symptoms and frequency.
arthritis,ginger ,No description available
arthritis,dashmool oil,Reduces arthritis pain and stiffness.
vermin-killers,"Karaskara, Chipita","Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
Leucoderma,"Bakuchi, Kushthanashini",Used traditionally for managing leucoderma.
diarrhea,sanjni vati,Provides relief from diarrhea and associated symptoms.
migraine,shankh bhasma,Helps in relieving migraine headaches.
migraine,Vasant Kusumakar Ras,No description available
migraine,shankh bhasma,Helps in relieving migraine headaches.
Haematinic,Pipli,Employed for its effects on blood formation.
arthritis,ricinus communis,Reduces joint pain and inflammation.
diarrhea,promegranate drink,Promotes digestion and reduces inflammation.
gastritis,laxative,Alleviates constipation and discomfort.
migraine,Shankh Vati + Shankh Bhasma,Reduces migraine symptoms and frequency.
Gastrointestinal disorders,Anar,Utilized for various gastrointestinal disorders.
arthritis,kamdhudha ras,Provides relief from arthritis pain and inflammation.
abdominal pain,Kakamachi,Kakamachi helps in relieving abdominal pain and discomfort.
vermin-killers,"Karaskara, Chipita","Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
Diaphoretic,Madana,Used traditionally as a diaphoretic agent.
Antifungal,Chandan,Used traditionally as an antifungal agent.
migraine,Vasant Kusumakar Ras,No description available
diarrhea,kutajarishta,Controls diarrhea and reduces intestinal inflammation.
styptic,Arjuna,"Arjuna is styptic, helping to stop bleeding by promoting clotting."
diarrhea,sanjni vati,Provides relief from diarrhea and associated symptoms.
gastritis,sankha vati,Soothes gastric irritation and improves digestion.
migraine,Mudgaparni,No description available
Deobstruent,"Manjistha, Kala-meshika",Utilized for its deobstruent effects.
vermin-killers,"Karaskara, Chipita","Karaskara and Chipita act as vermin-killers, helping to expel intestinal worms and parasites."
migraine,shankh-vati,Reduces migraine frequency and severity.
Asthma,Pipli,Employed traditionally for managing asthma symptoms.
Piles,Bark,Utilized in traditional medicine for hemorrhoids or piles.
Galactogogue,Bilai kand,Employed to promote lactation.
Depurative properties,Mulaka,Utilized for its depurative or purifying properties.
treat boils,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
migraine,ginger,Alleviates nausea and vomiting during migraines.
Aphrodisiac,"Bakuchi, Kushthanashini",Employed traditionally as an aphrodisiac.
Rheumatism,"Manjistha, Kala-meshika",Employed traditionally for rheumatism relief.
migraine,Anu Taila + Shankhapushpi,Calms the nervous system and reduces migraine attacks.
Antimitotic,Chandan,Used traditionally with purported antimitotic effects.
 analgesic,Bahera,"Bahera has analgesic properties, providing relief from pain."
migraine,Mudgaparni,No description available
Headache,Mulaka,Used traditionally for headache relief.
Asthma,Kushta,Used traditionally for managing asthma symptoms.
anthelmintic,Kirata-tikta,"Kirata-tikta has anthelmintic properties, helping to expel intestinal worms and parasites."
Diuretic,"Bakuchi, Kushthanashini",Employed for its diuretic effects.
Sleeplessness,Mulaka,Employed for managing sleeplessness or insomnia.
vermifuge,Sharapunkha,"Sharapunkha acts as a vermifuge, helping to expel intestinal worms and parasites."
dyspepsia,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari aid in the management of dyspepsia, relieving indigestion and discomfort."
 demulcent,Draksha,"Draksha acts as a demulcent, soothing and protecting mucous membranes in the body."
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
febrifugal,Kirata-tikta,Kirata-tikta aids in reducing fever and promoting recovery from infections.
rheumatism,Sharapunkha,"Sharapunkha helps in reducing rheumatism symptoms, such as joint pain and inflammation."
Demulcent,Bilai kand,"Employed as a demulcent, soothing agent."
Piles,Bark,Utilized in traditional medicine for hemorrhoids or piles.
Nervine calmative,Madana,Utilized for its calming effects on the nervous system.
migraine,ashwagandha,Helps in managing stress-related migraines.
Neuralgia tonic,"Manjistha, Kala-meshika",Used traditionally for neuralgia relief.
Bioavailability enhancer,Pipli,Used for enhancing bioavailability of other substances.
 laxative,Draksha,"Draksha acts as a natural laxative, aiding in relieving constipation and promoting regular bowel movements."
arthritis,kamdhudha ras,Provides relief from arthritis pain and inflammation.
cardioprotective,Bahera,"Bahera is cardioprotective, supporting heart health and reducing the risk of cardiovascular diseases."
Abortifacient,Madana,Used traditionally for inducing abortion.
Antispasmodic,Madana,Employed for its antispasmodic properties.
hypocholesterolemic,Arjuna,"Arjuna has hypocholesterolemic properties, helping to lower cholesterol levels in the blood."
tonic,Arjuna,"Arjuna acts as a tonic, promoting overall health and vitality."
diarrhea,promegranate drink,Promotes digestion and reduces inflammation.
Diaphoretic,Madana,Used traditionally as a diaphoretic agent.
fever,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari help in reducing fever and promoting recovery from infections."
laxative,Kirata-tikta,"Kirata-tikta acts as a laxative, promoting bowel movements and relieving constipation."
sugars,Draksha,"Draksha contains natural sugars, providing a source of energy and sweetness."
migraine,ashwagandha,Helps in managing stress-related migraines.
gastritis,hingvastak churna,Reduces gastritis symptoms like bloating and acidity.
anthelmintic,Bahera,"Bahera has anthelmintic properties, helping to expel intestinal worms and parasites."
Leprosy,"Bakuchi, Kushthanashini",Employed in traditional medicine for leprosy treatment.
gastritis,lavan bhasker churna,Soothes gastric irritation and improves digestion.
Diabetes,Gymnema sylvestre (leaves) 30% Tinospora cordifolia (stems) 15% Azadirachta indica (leaves) 10% Phyllanthus emblica (fruits) 20% Curcuma longa (roots) 10% Aegle marmelos (leaves) 15%,this combination is help you to relief from diabetes
expectorant,Jaiphal,Used for its expectorant properties.
Antihelmintic,"Bakuchi, Kushthanashini",Used for expelling or destroying intestinal worms.
migraine,trikatu,Reduces migraine intensity and frequency.
Gall bladder troubles,Mulaka,Addressing issues related to the gallbladder.
astringent,Bahera,"Bahera has astringent properties, helping to tighten and tone tissues."
Piles,Bark,Utilized in traditional medicine for hemorrhoids or piles.
Biliousness,Bark,Addressing biliousness or excess bile secretion.
boils,Sharapunkha,"Sharapunkha helps in treating boils, promoting healing and reducing inflammation."
Dysentery,Anar,Employed for its effects on dysentery.
Epilepsy,Pipli,Used traditionally for managing epilepsy.
Colic,Bark,Used for the relief of colic pain.
hypocholesterolemic,Arjuna,"Arjuna has hypocholesterolemic properties, helping to lower cholesterol levels in the blood."
Antibacterial,Anar,Employed for its antibacterial properties.
Carminative,Pipli,Utilized for its carminative properties.
Antimitotic,Chandan,Used traditionally with purported antimitotic effects.
tonic,Prasarani,Used as a tonic.
Anthelmintic,Pipli,Used for expelling or destroying intestinal worms.
gastritis,hingvastak churna,Reduces gastritis symptoms like bloating and acidity.
diarrhea,sanjni vati,Provides relief from diarrhea and associated symptoms.
Antispasmodic,Madana,Employed for its antispasmodic properties.
diarrhea,dadimashtaka churna,Alleviates diarrhea symptoms and improves digestion.
aperient,Bahera,"Bahera acts as an aperient, promoting gentle bowel movements and relieving constipation."
treat boils,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
gastritis,hingvadi vati,Alleviates gastritis symptoms like bloating and discomfort.
aphrodisiac,Jaiphal,Utilized traditionally as an aphrodisiac
Skin protective,Chandan,Utilized for its skin-protective properties.
arthritis,praval pisti,Reduces joint pain and inflammation in arthritis.
diuretic,Prasarani, Used for its diuretic effects.
migraine,Vasant Kusumakar Ras,No description available
Leprosy,Pipli,Used traditionally for leprosy treatment.
tonic,Jaiphal,Employed as a tonic
arthritis,shud laksha,Reduces joint pain and inflammation in arthritis.
gastritis,laxative,Alleviates constipation and discomfort.
Antiviral,Chandan,Employed traditionally as an antiviral agent.
diarrhea,sanjivani vati,Provides relief from diarrhea and associated symptoms.
febrifugal,Kirata-tikta,Kirata-tikta aids in reducing fever and promoting recovery from infections.
